gtin	descricao	preco	product_url	url_photo
2017.0	Frango Seara Inteiro Congelado	26.98	http://www.comper.com.br/frango-seara-inteiro-congelado/p	https://comper.vteximg.com.br/arquivos/ids/180675-1000-1000/1039318_1.jpg?v=637424320016400000
8744.0	Filé de Tilápia Fresca	25.25	http://www.comper.com.br/file-de-tilapia-fresca/p	https://comper.vteximg.com.br/arquivos/ids/186067-1000-1000/842753.jpg?v=637505709129570000
4646.0	Moela de Frango Resfriado	8.49	http://www.comper.com.br/moela-de-frango-resfriado/p	https://comper.vteximg.com.br/arquivos/ids/182261-1000-1000/4646.jpg?v=637481336651130000
7894904005833.0	Salsicha de Frango Seara 500g	5.99	http://www.comper.com.br/salsicha-de-frango-seara-500g/p	https://comper.vteximg.com.br/arquivos/ids/188424-1000-1000/7894904005833_1.jpg?v=637553892123330000
3403.0	Costela Suína	41.97	http://www.comper.com.br/costela-suina/p	https://comper.vteximg.com.br/arquivos/ids/180695-1000-1000/729000_1.jpg?v=637424463900200000
137.0	Língua Bovina	12.59	http://www.comper.com.br/lingua-bovina/p	https://comper.vteximg.com.br/arquivos/ids/182259-1000-1000/137.jpg?v=637481335339970000
906.0	Costela Bovina Minga	37.47	http://www.comper.com.br/costela-bovina-minga/p	https://comper.vteximg.com.br/arquivos/ids/180693-1000-1000/719811_1.jpg?v=637424463867570000
915.0	Coxa com Sobrecoxa	7.49	http://www.comper.com.br/coxa-com-sobrecoxa/p	https://comper.vteximg.com.br/arquivos/ids/180676-1000-1000/718181.jpg?v=637424320045270000
7891527962253.0	Coxa da Asa de Frango Copacol 800g	12.69	http://www.comper.com.br/coxa-da-asa-de-frango-copacol-800g/p	https://comper.vteximg.com.br/arquivos/ids/189163-1000-1000/717045.jpg?v=637602465618570000
3676.0	Picanha Bovina Fatiada Vácuo	65.97	http://www.comper.com.br/picanha-bovina-fatiada-vacuo/p	https://comper.vteximg.com.br/arquivos/ids/180701-1000-1000/673544_1.jpg?v=637424464026000000
7891527962376.0	Frango à Passarinho Copacol 800g	13.98	http://www.comper.com.br/frango-a-passarinho-copacol-800g/p	https://comper.vteximg.com.br/arquivos/ids/189158-1000-1000/656097.jpg?v=637602463682570000
7893000488878.0	Coxinha de Asa de Frango Sadia IQF 1kg	14.99	http://www.comper.com.br/coxinha-de-asa-de-frango-sadia-iqf-1kg/p	https://comper.vteximg.com.br/arquivos/ids/178624-1000-1000/Coxinha-da-Asa-de-Frango-Congelada-Sadia-1kg.jpg?v=637362879935230000
7893000135529.0	Salsicha Sadia Hot Dog 500g	12.59	http://www.comper.com.br/salsicha-sadia-hot-dog-500g/p	https://comper.vteximg.com.br/arquivos/ids/178609-1000-1000/Salsicha-Hot-Dog-Sadia-500g-10-Unidades.jpg?v=637362879847900000
7891527044935.0	Peito de Frango Copacol Desfiado 400g	18.98	http://www.comper.com.br/peito-de-frango-copacol-desfiado-400g/p	https://comper.vteximg.com.br/arquivos/ids/189152-1000-1000/623954.jpg?v=637602462155270000
7891527000665.0	Filé de Frango Copacol Bandeja 1kg	24.98	http://www.comper.com.br/file-de-frango-copacol-bandeja-1kg/p	https://comper.vteximg.com.br/arquivos/ids/189110-1000-1000/7891527000665.jpg?v=637601609278070000
7908119233674.0	Filé de Tilápia Samak Sem Pele 800g	28.98	http://www.comper.com.br/file-de-tilapia-samak-sem-pele-800g/p	https://comper.vteximg.com.br/arquivos/ids/197573-1000-1000/7908119233674.jpg?v=637673306279230000
7894904095827.0	Filé de Peito de Frango Seara Orgânico Bandeja 600g	26.98	http://www.comper.com.br/file-de-peito-de-frango-seara-organico-bandeja-600g/p	https://comper.vteximg.com.br/arquivos/ids/195366-1000-1000/2547678_File-de-peito-bandeja-Seara-Organico-600g_1.jpg?v=637665288102900000
7898040080778.0	Linguiça de Frango Boua Churrasco com Bacon 800g	14.99	http://www.comper.com.br/linguica-de-frango-boua-churrasco-com-bacon-800g/p	https://comper.vteximg.com.br/arquivos/ids/167587-1000-1000/Linguica-de-Frango-Com-Bacon.png?v=637243852692770000
7894904098071.0	Linguiça Suína Seara Gourmet com Pimenta Biquinha 500g	18.49	http://www.comper.com.br/linguica-suina-seara-gourmet-com-pimenta-biquinha-500g/p	https://comper.vteximg.com.br/arquivos/ids/171553-1000-1000/seara319.png?v=637279942687300000
7894904097241.0	Linguiça de Frango Seara Gourmet com Bacon 500g	18.49	http://www.comper.com.br/linguica-de-frango-seara-gourmet-com-bacon-500g/p	https://comper.vteximg.com.br/arquivos/ids/171550-1000-1000/seara316.png?v=637279942676530000
7898924935026.0	Camarão Congelado Dellmare Descascado e Cozido 200g	20.98	http://www.comper.com.br/camarao-congelado-dellmare-descascado-e-cozido-200g/p	https://comper.vteximg.com.br/arquivos/ids/155502-1000-1000/2109301.jpg?v=637210419204870000
7898040080785.0	Linguiça de Frango Super Frango com Queijo 800g	14.99	http://www.comper.com.br/linguica-de-frango-super-frango-com-queijo-800g/p	https://comper.vteximg.com.br/arquivos/ids/197421-1000-1000/7898040080785.jpg?v=637673243834330000
7891527066319.0	Pão de Alho Copacol Tradicional 400g	11.49	http://www.comper.com.br/pao-de-alho-copacol-tradicional-400g/p	https://comper.vteximg.com.br/arquivos/ids/189182-1000-1000/1909533.jpg?v=637602471269200000
3326.0	Lagarto de Carne Bovina	21.49	http://www.comper.com.br/lagarto-de-carne-bovina/p	https://comper.vteximg.com.br/arquivos/ids/181713-1000-1000/1654519-lagarto-bov.jpg?v=637439079704600000
7894904203420.0	Bacon Seara Fatiado 250g	21.99	http://www.comper.com.br/bacon-seara-fatiado-250g/p	https://comper.vteximg.com.br/arquivos/ids/171472-1000-1000/seara238.png?v=637279942380000000
7894904201822.0	Linguiça de Pernil Seara Gourmet com Pimenta 450g	18.49	http://www.comper.com.br/linguica-de-pernil-seara-gourmet-com-pimenta-450g/p	https://comper.vteximg.com.br/arquivos/ids/171457-1000-1000/seara223.png?v=637279942329600000
7898337980064.0	Pão de Alho Zinho Bolinha Tradicional 300g	12.98	http://www.comper.com.br/pao-de-alho-zinho-bolinha-tradicional-300g/p	https://comper.vteximg.com.br/arquivos/ids/176751-1000-1000/1467646.jpg?v=637298334442270000
7898040082116.0	Filezinho Sassami Super Frango 1kg	17.98	http://www.comper.com.br/filezinho-sassami-super-frango-1kg/p	https://comper.vteximg.com.br/arquivos/ids/164378-1000-1000/1225901_1.jpg?v=637224352263200000
7891515430139.0	Coxinha da Asa de Frango Perdigão 800g	18.49	http://www.comper.com.br/coxinha-da-asa-de-frango-perdigao-800g/p	https://comper.vteximg.com.br/arquivos/ids/178504-1000-1000/Coxinha-da-Asa-de-Frango-Congelada-Perdigao-800g.jpg?v=637362879199600000
7891527063622.0	Tilápia Copacol Pacote 1kg	26.29	http://www.comper.com.br/tilapia-copacol-pacote-1kg/p	https://comper.vteximg.com.br/arquivos/ids/189107-1000-1000/7891527063622.jpg?v=637601598964830000
7891515977511.0	Linguiça Calabresa Perdigão 400g	18.19	http://www.comper.com.br/linguica-calabresa-perdigao-400g/p	https://comper.vteximg.com.br/arquivos/ids/178577-1000-1000/Linguica-Calabresa-Defumada-Perdigao-400g.jpg?v=637362879655300000
7891527039405.0	Filé de Tilápia Copacol Pacote 2kg	89.99	http://www.comper.com.br/file-de-tilapia-copacol-pacote-2kg/p	https://comper.vteximg.com.br/arquivos/ids/182699-1000-1000/1187597.jpg?v=637492784621730000
7894904197743.0	Coxinha da Asa de Frango Seara Congelados e Soltinhos 1kg	21.49	http://www.comper.com.br/coxinha-da-asa-de-frango-seara-congelados-e-soltinhos-1kg/p	https://comper.vteximg.com.br/arquivos/ids/158756-1000-1000/959502.jpg?v=637210498887730000
7508.0	Sobrecoxa de Frango Resfriada	7.99	http://www.comper.com.br/sobrecoxa-de-frango-resfriada/p	https://comper.vteximg.com.br/arquivos/ids/182263-1000-1000/7508.jpg?v=637481338141630000
7891527002775.0	Coxa e Sobrecoxa de Frango Copacol Sem Osso e Sem Pele Bandeja 1kg	23.79	http://www.comper.com.br/coxa-e-sobrecoxa-de-frango-copacol-sem-osso-e-sem-pele-bandeja-1kg/p	https://comper.vteximg.com.br/arquivos/ids/189164-1000-1000/810673.jpg?v=637602465858800000
4420.0	Linguiça Sadia Suína	14.99	http://www.comper.com.br/linguica-sadia-suina/p	https://comper.vteximg.com.br/arquivos/ids/180683-1000-1000/770639.jpg?v=637424463604270000
4132.0	Frango Copacol Desossado Congelado e Temperado	42.47	http://www.comper.com.br/frango-copacol-desossado-congelado-e-temperado/p	https://comper.vteximg.com.br/arquivos/ids/189139-1000-1000/751081.jpg?v=637601625338430000
4912.0	Filé de Peito de Frango	11.49	http://www.comper.com.br/file-de-peito-de-frango/p	https://comper.vteximg.com.br/arquivos/ids/179324-1000-1000/744875_1.jpg?v=637370863347370000
434.0	Linguiça Seara Toscana Granel	16.19	http://www.comper.com.br/linguica-seara-toscana-granel/p	https://comper.vteximg.com.br/arquivos/ids/188373-1000-1000/720542_1.jpg?v=637553869193300000
136.0	Bucho Bovino	14.0	http://www.comper.com.br/bucho-bovino/p	https://comper.vteximg.com.br/arquivos/ids/182258-1000-1000/136.jpg?v=637481333916400000
7893000040144.0	Linguiça Toscana Sadia 950g	28.98	http://www.comper.com.br/linguica-toscana-sadia-950g/p	https://comper.vteximg.com.br/arquivos/ids/178588-1000-1000/Linguica-Toscana-Sadia-950g.jpg?v=637362879721230000
7891527000771.0	Sobrecoxa de Frango Copacol Bandeja 1kg	18.49	http://www.comper.com.br/sobrecoxa-de-frango-copacol-bandeja-1kg/p	https://comper.vteximg.com.br/arquivos/ids/189112-1000-1000/7891527000771.jpg?v=637601611760630000
1528.0	Capa de Contra Filé Bovino a Vácuo Peça	50.97	http://www.comper.com.br/capa-de-contra-file-bovino-a-vacuo-peca/p	https://comper.vteximg.com.br/arquivos/ids/182210-1000-1000/208027_contrafile.jpg?v=637478671076230000
7891515515317.0	Coxinha de Asa de Frango Sadia Bio Drumette 1kg	24.98	http://www.comper.com.br/coxinha-de-asa-de-frango-sadia-bio-drumette-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182536-1000-1000/7891515515317.jpg?v=637492560898300000
7891515488550.0	Coxa e Sobrecoxa de Frango Sadia Bio Desossada 1kg	20.89	http://www.comper.com.br/coxa-e-sobrecoxa-de-frango-sadia-bio-desossada-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182534-1000-1000/7891515488550.jpg?v=637492560018200000
7891515488536.0	Filé de Peito de Frango Sadia Bio 1kg	26.49	http://www.comper.com.br/file-de-peito-de-frango-sadia-bio-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182533-1000-1000/7891515488536.jpg?v=637492559688000000
7894904095933.0	Coxinha da Asa de Frango Seara Orgânico 600g	18.98	http://www.comper.com.br/coxinha-da-asa-de-frango-seara-organico-600g/p	https://comper.vteximg.com.br/arquivos/ids/195365-1000-1000/2547660_Coxinha-da-asa-Seara-Organico-IQF-600g_1.jpg?v=637665288047030000
7894904095926.0	Meio da asa de Frango Seara Orgânico 600g	30.49	http://www.comper.com.br/meio-da-asa-de-frango-seara-organico-600g/p	https://comper.vteximg.com.br/arquivos/ids/195363-1000-1000/2547643_Meio-da-asa-Seara-Organico-IQF-600g_1.jpg?v=637665287939130000
6305.0	Tiras de Costela Nobratta Assada	61.66	http://www.comper.com.br/tiras-de-costela-nobratta-assada/p	https://comper.vteximg.com.br/arquivos/ids/179925-1000-1000/COSTELA-DE-TRASEIRO---ASSADO-DE-TIRAS.jpg?v=637390523639170000
6181.0	Ponta de Peito Bovino Nobratta Granito	54.06	http://www.comper.com.br/ponta-de-peito-bovino-nobratta-granito/p	https://comper.vteximg.com.br/arquivos/ids/179935-1000-1000/PEITO-GRANITO.jpg?v=637390609534530000
7891527063721.0	Filé de Peito de Frango Copacol 800g	20.98	http://www.comper.com.br/file-de-peito-de-frango-copacol-800g/p	https://comper.vteximg.com.br/arquivos/ids/189187-1000-1000/2305224.jpg?v=637602472548070000
7898040080754.0	Linguiça de Frango Super Frango com Pequi 800g	14.99	http://www.comper.com.br/linguica-de-frango-super-frango-com-pequi-800g/p	https://comper.vteximg.com.br/arquivos/ids/197419-1000-1000/7898040080754.jpg?v=637673242428200000
7898337980262.0	Pão de Alho Zinho Picante com Queijo Baguete 300g	12.98	http://www.comper.com.br/pao-de-alho-zinho-picante-com-queijo-baguete-300g/p	https://comper.vteximg.com.br/arquivos/ids/165205-1000-1000/1467638_1.jpg?v=637224375694500000
7898542029855.0	Carne Seca Friboi Salgada, Curada e Dessecada 500g	33.9	http://www.comper.com.br/carne-seca-friboi-salgada--curada-e-dessecada-500g/p	https://comper.vteximg.com.br/arquivos/ids/182590-1000-1000/7898542029855.jpg?v=637492588457630000
4647.0	Coração de Frango	15.99	http://www.comper.com.br/coracao-de-frango/p	https://comper.vteximg.com.br/arquivos/ids/180678-1000-1000/732885_1.jpg?v=637424320086830000
7894904003693.0	Ingredientes para Feijoada Seara 1kg	23.79	http://www.comper.com.br/ingredientes-para-feijoada-seara-1kg/p	https://comper.vteximg.com.br/arquivos/ids/155581-1000-1000/724300.jpg?v=637210421243570000
7891527039351.0	Filé de Tilápia Copacol 400g	24.49	http://www.comper.com.br/file-de-tilapia-copacol-400g/p	https://comper.vteximg.com.br/arquivos/ids/189161-1000-1000/683540.jpg?v=637602464460670000
7891527055078.0	Filé de Merluza Copacol 800g	32.98	http://www.comper.com.br/file-de-merluza-copacol-800g/p	https://comper.vteximg.com.br/arquivos/ids/189160-1000-1000/683531.jpg?v=637602464216600000
7891527055191.0	Camarão 7 Barbas Copacol Descascado Congelado 400g	39.98	http://www.comper.com.br/camarao-7-barbas-copacol-descascado-congelado-400g/p	https://comper.vteximg.com.br/arquivos/ids/187113-1000-1000/655970.jpg?v=637532491157630000
7893000069350.0	Linguiça Mista Sadia Fininha Cozida e Defumada 240g	9.89	http://www.comper.com.br/linguica-mista-sadia-fininha-cozida-e-defumada-240g/p	https://comper.vteximg.com.br/arquivos/ids/178592-1000-1000/Linguica-Mista-Fininha-Sadia-240g.jpg?v=637362879745170000
7893000825116.0	Linguiça Calabresa Sadia 500g	19.49	http://www.comper.com.br/linguica-calabresa-sadia-500g/p	https://comper.vteximg.com.br/arquivos/ids/189453-1000-1000/7893000825116.jpg?v=637617968710570000
2860.0	Maminha Maturatta a Vácuo	47.68	http://www.comper.com.br/maminha-maturatta-a-vacuo/p	https://comper.vteximg.com.br/arquivos/ids/180681-1000-1000/635570_1.jpg?v=637424391629400000
7891515515324.0	Filezinho de Frango Sadia Bio Sassami 1kg	26.99	http://www.comper.com.br/filezinho-de-frango-sadia-bio-sassami-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182537-1000-1000/7891515515324.jpg?v=637492561202300000
7891515515331.0	Meio da asa de Frango Sadia Bio Tulipa 1kg	40.98	http://www.comper.com.br/meio-da-asa-de-frango-sadia-bio-tulipa-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182538-1000-1000/7891515515331.jpg?v=637492561461700000
7891515515348.0	Filé de Peito de Frango Sadia Bio Sem Pele e Sem Osso 1kg	27.89	http://www.comper.com.br/file-de-peito-de-frango-sadia-bio-sem-pele-e-sem-osso-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182539-1000-1000/7891515515348.jpg?v=637492561787730000
7898912222244.0	Torresminho para Micro-Ondas D'goiás 45g	11.55	http://www.comper.com.br/torresminho-para-micro-ondas-d-goias-45g/p	https://comper.vteximg.com.br/arquivos/ids/180513-1000-1000/2555123_TorresminhoParaMicro-OndasDgoias45g.jpg?v=637421013836500000
7894904095797.0	Coxa de Frango Seara Orgânico Bandeja 600g	11.98	http://www.comper.com.br/coxa-de-frango-seara-organico-bandeja-600g/p	https://comper.vteximg.com.br/arquivos/ids/195364-1000-1000/2547651_Coxa-bandeja-Seara-Organico-600g_1.jpg?v=637665287992730000
6239.0	Costela Rojão Nobratta Traseiro	88.92	http://www.comper.com.br/costela-rojao-nobratta-traseiro/p	https://comper.vteximg.com.br/arquivos/ids/193439-1000-1000/2530783-Costela-Rojao-Nobratta-Traseiro.jpg?v=637644531941630000
6225.0	Capa de Contra Filé Nobratta	79.58	http://www.comper.com.br/capa-de-contra-file-nobratta/p	https://comper.vteximg.com.br/arquivos/ids/187644-1000-1000/2530112.jpg?v=637540205860830000
